date,1. open,2. high,3. low,4. close,5. volume
2025-02-24 07:00:00,437.27,437.27,436.98,437.02,21375.0
2025-02-24 06:45:00,437.38,437.47,437.27,437.28,1128.0
2025-02-24 06:30:00,437.31,437.39,437.31,437.38,1326.0
2025-02-24 06:15:00,437.29,437.33,437.28,437.32,736.0
2025-02-24 06:00:00,437.17,437.34,436.97,437.21,4261.0
2025-02-24 05:45:00,437.15,437.16,437.1,437.13,66.0
2025-02-24 05:30:00,437.1,437.25,437.0,437.0,4351.0
2025-02-24 05:15:00,436.94,437.04,436.94,437.04,210.0
2025-02-24 05:00:00,437.0,437.03,436.77,436.77,1057.0
2025-02-24 04:45:00,437.1,437.1,437.04,437.04,5.0
2025-02-24 04:30:00,437.13,437.17,436.99,437.04,905.0
2025-02-24 04:15:00,437.1,437.31,437.1,437.16,1564.0
2025-02-24 04:00:00,436.17,437.21,436.17,437.13,4821.0
2025-02-21 20:00:00,434.15,434.15,434.15,434.15,68705.0
2025-02-21 19:45:00,433.76,434.1,433.67,434.1,3174.0
2025-02-21 19:30:00,434.0,434.0,433.68,433.835,106.0
2025-02-21 19:15:00,434.045,434.045,433.68,433.9,91.0
2025-02-21 19:00:00,433.955,434.115,433.815,433.98,36.0
2025-02-21 18:45:00,434.0,434.25,433.66,433.955,156.0
2025-02-21 18:30:00,434.15,434.23,433.6736,434.0,68787.0
2025-02-21 18:15:00,434.02,434.23,433.76,434.23,3730.0
2025-02-21 18:00:00,434.1,434.239,433.81,434.02,188.0
2025-02-21 17:45:00,433.78,434.23,433.78,434.1,199.0
2025-02-21 17:30:00,434.11,434.21,433.9,433.9,203.0
2025-02-21 17:15:00,434.0,434.25,434.0,434.0118,340.0
2025-02-21 17:00:00,434.005,434.25,433.98,434.125,301041.0
2025-02-21 16:45:00,434.1,434.17,433.96,434.0399,146307.0
2025-02-21 16:30:00,434.15,434.21,434.05,434.08,6746.0
2025-02-21 16:15:00,434.17,436.2094,434.1,434.19,3063.0
2025-02-21 16:00:00,434.15,434.2,434.0,434.15,302275.0
2025-02-21 15:45:00,433.99,434.48,433.78,434.16,462523.0
2025-02-21 15:30:00,434.48,434.57,434.07,434.07,208032.0
2025-02-21 15:15:00,434.09,434.49,433.8,434.4343,64305.0
2025-02-21 15:00:00,433.97,434.245,433.76,433.99,63294.0
2025-02-21 14:45:00,433.85,434.44,433.79,434.005,125531.0
2025-02-21 14:30:00,433.57,433.97,433.47,433.87,72619.0
2025-02-21 14:15:00,434.9,434.9,433.3504,433.61,97342.0
2025-02-21 14:00:00,434.52,435.09,434.23,434.96,152676.0
2025-02-21 13:45:00,434.35,434.8,434.35,434.52,111632.0
2025-02-21 13:30:00,434.7301,435.31,434.3,434.3799,113407.0
2025-02-21 13:15:00,435.54,435.92,434.72,434.72,95560.0
2025-02-21 13:00:00,435.93,435.988,435.13,435.53,98646.0
2025-02-21 12:45:00,436.67,436.73,435.78,435.92,205066.0
2025-02-21 12:30:00,437.075,437.075,436.35,436.69,76628.0
2025-02-21 12:15:00,437.71,437.75,436.962,437.05,80038.0
2025-02-21 12:00:00,437.97,438.05,437.63,437.86,47406.0
2025-02-21 11:45:00,438.0903,438.0903,437.665,438.0,24365.0
2025-02-21 11:30:00,437.825,438.34,437.756,438.1497,32230.0
2025-02-21 11:15:00,438.08,438.33,437.7114,437.85,65245.0
2025-02-21 11:00:00,437.92,438.16,437.485,438.07,42847.0
2025-02-21 10:45:00,437.53,438.04,437.5,437.82,65224.0
2025-02-21 10:30:00,437.81,438.13,437.52,437.545,70792.0
2025-02-21 10:15:00,437.71,438.33,437.66,437.83,82290.0
2025-02-21 10:00:00,437.91,438.17,437.36,437.735,136321.0
2025-02-21 09:45:00,438.75,439.03,437.7,437.89,150094.0
2025-02-21 09:30:00,439.1,439.39,438.59,438.69,294924.0
2025-02-21 09:15:00,439.77,440.0,439.05,439.1,38026.0
2025-02-21 09:00:00,439.27,439.83,439.27,439.79,10391.0
2025-02-21 08:45:00,439.17,445.385,439.165,439.319,2967.0
2025-02-21 08:30:00,439.6,439.71,439.1601,439.2,7200.0
2025-02-21 08:15:00,439.4,439.7,439.37,439.63,10601.0
2025-02-21 08:00:00,440.73,442.39,439.2725,439.44,20684.0
2025-02-21 07:45:00,440.0,440.1,439.74,439.98,6216.0
2025-02-21 07:30:00,440.44,440.5,439.85,439.85,20997.0
2025-02-21 07:15:00,440.33,440.73,440.16,440.5,18696.0
2025-02-21 07:00:00,442.2,442.2,440.18,440.3,34274.0
2025-02-21 06:45:00,442.18,442.31,442.18,442.31,42.0
2025-02-21 06:30:00,442.32,442.33,442.3,442.3,17.0
2025-02-21 06:15:00,442.31,442.32,442.31,442.32,81.0
2025-02-21 06:00:00,442.37,442.39,442.32,442.37,294.0
2025-02-21 05:45:00,442.24,442.42,442.24,442.42,781.0
2025-02-21 05:30:00,442.23,442.23,442.23,442.23,2.0
2025-02-21 05:15:00,442.15,442.27,442.15,442.23,460.0
2025-02-21 05:00:00,442.13,442.13,442.1,442.1,25.0
2025-02-21 04:45:00,442.11,442.12,442.05,442.06,44.0
2025-02-21 04:30:00,442.08,442.11,442.08,442.11,16.0
2025-02-21 04:15:00,441.95,442.05,441.95,442.05,16.0
2025-02-21 04:00:00,442.06,442.06,441.84,441.9,1410.0
2025-02-20 20:00:00,441.7197,441.7197,441.7197,441.7197,44490.0
2025-02-20 19:45:00,441.6299,441.7597,441.6299,441.7597,243.0
2025-02-20 19:30:00,441.7047,441.7597,441.6249,441.6249,60.0
2025-02-20 19:15:00,441.8695,441.8695,441.7197,441.7397,70.0
2025-02-20 19:00:00,441.8096,441.9094,441.8096,441.8745,153.0
2025-02-20 18:45:00,441.8895,441.9194,441.7597,441.8046,784.0
2025-02-20 18:30:00,441.7197,441.9793,441.7197,441.9683,45905.0
2025-02-20 18:15:00,441.7996,441.7996,441.6898,441.6898,116.0
2025-02-20 18:00:00,441.4601,441.8196,441.3303,441.7696,191.0
2025-02-20 17:45:00,441.4551,441.8095,441.4102,441.4202,136.0
2025-02-20 17:30:00,441.3303,441.8196,441.1007,441.55,23.0
2025-02-20 17:15:00,440.871,441.8196,411.1419,441.8196,407.0
2025-02-20 17:00:00,441.4701,441.7197,441.2704,441.2704,79379.0
2025-02-20 16:45:00,441.4751,441.53,441.3802,441.53,1350.0
2025-02-20 16:30:00,441.5999,441.6149,441.5001,441.545,72.0
2025-02-20 16:15:00,441.54,441.6199,441.51,441.56,1234.0
2025-02-20 16:00:00,441.6898,441.7796,440.8508,441.5481,189951.0
2025-02-20 15:45:00,441.0907,441.7597,441.0108,441.6898,416745.0
2025-02-20 15:30:00,441.2205,441.3103,440.911,441.0819,77361.0
2025-02-20 15:15:00,441.0108,441.3203,440.7911,441.2305,51381.0
2025-02-20 15:00:00,441.0807,441.1405,440.8812,441.0408,42681.0
2025-02-20 14:45:00,440.6813,441.2704,440.6813,441.0557,119665.0
2025-02-20 14:30:00,440.4816,440.7013,440.1721,440.7013,50883.0
2025-02-20 14:15:00,440.5914,440.6513,440.3119,440.4716,48435.0
2025-02-20 14:00:00,439.9824,440.8011,439.9724,440.6014,74573.0
2025-02-20 13:45:00,439.9923,440.1122,439.6628,440.0223,44544.0
2025-02-20 13:30:00,439.4631,440.0219,439.4082,440.0219,43251.0
2025-02-20 13:15:00,440.0323,440.0622,439.2984,439.5027,159857.0
2025-02-20 13:00:00,439.8625,440.0323,439.573,440.0223,107208.0
2025-02-20 12:45:00,440.5914,440.6414,439.7727,439.8725,81662.0
2025-02-20 12:30:00,440.3818,440.6613,440.2719,440.6014,60563.0
2025-02-20 12:15:00,440.197,440.5615,440.1421,440.4017,67519.0
2025-02-20 12:00:00,439.4931,440.222,439.3883,440.207,80320.0
2025-02-20 11:45:00,439.8625,439.9514,439.4532,439.5031,130703.0
2025-02-20 11:30:00,440.3119,440.3765,439.3982,439.8825,123806.0
2025-02-20 11:15:00,440.6513,440.6713,440.1122,440.3119,78570.0
2025-02-20 11:00:00,440.5715,440.911,440.1722,440.6713,138136.0
2025-02-20 10:45:00,440.9409,441.0408,440.212,440.5715,122328.0
