date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2000-02-15,25.6717817013,34.5501269249,50.7677635615,0.910839517953,24.8976372357,11.2236718806,17.4789422656,46.9071575329,15.3979481633,,67.0527096284,38.6958021263,27.1199529093,68.8529404084,34.3188271653,23.0490526635,27.6718200601,19.450325917,27.9998650412,31.2362666879,2.89850292782,26.935835487,,13.8866006262,6.17917814087,18.2550805826,,19.5564713336,39.1497657349,28.6820989029
2000-02-16,25.4356001576,33.3991798934,54.5289166566,0.873487443604,24.0892723904,10.996392525,17.6954556149,46.6139877983,14.8090160465,,64.2930836599,37.0767309076,26.3923229916,68.0475397223,32.8480202868,23.0837607363,27.1392757807,19.2370927144,27.9444028676,30.9383558652,2.80899593859,26.4576013321,,13.995134321,6.38001703969,18.5276449194,,18.8934383362,35.6060369399,28.7287617536
2000-02-17,25.8157948377,32.1179369716,56.7684414248,0.879228028801,24.2509453595,10.8560966265,17.6818104879,47.8233129534,14.463398607,,63.6651912344,35.2957525671,27.3097032026,68.6354234348,33.7059909659,22.9044356936,26.756936298,19.450325917,26.9844806317,31.5722086795,2.76138583794,26.4969853214,,14.0693942174,6.54339376049,18.086830992,,18.8109942417,32.6563045906,28.3865675151
2000-02-18,25.2195804529,30.033202726,55.6447774296,0.851520137582,23.2809075451,10.5755048295,17.3270371842,46.1009407628,14.206259232,,62.6419591338,34.8100312015,26.0571263761,66.1369176566,32.2964677074,22.3982762989,25.5177467246,18.7299434757,26.4511905006,30.1270242629,2.66616563663,26.3394493645,,13.4981642451,6.02308573246,17.4575775231,,17.9934236373,32.2310571352,27.6088533366
2000-02-22,25.9598079742,30.2069305798,52.6717497756,0.871114668389,25.1433801487,10.7494717436,17.213327792,45.4046626431,14.3085619941,,63.2233410091,34.732315783,27.7860352352,65.2550920879,32.7254530469,22.7424646873,26.3711830699,18.6204453446,27.9444028676,29.730866254,2.57094543532,26.1284637079,,13.6409717382,6.11986302567,17.5820822201,,18.0346456846,32.4875556003,25.9600992782
2000-02-23,26.7547604873,29.9897707626,55.7462193181,0.889790705564,24.0116693653,10.6091758451,16.658425958,50.791656516,14.1703150183,,66.471327753,35.4965173982,26.5746229053,63.9323537348,33.4302146762,22.0193798378,26.4121480145,18.8048632496,26.9332847791,29.8703138732,2.67187884871,25.4955067382,,13.5667118418,5.95752692093,16.9090838576,,18.3781627452,31.7248101645,26.5433849121
2000-02-24,26.3750753369,28.2307762428,56.6201802032,0.881753886288,23.6430549958,10.1714526418,16.2467979582,50.3152556973,13.7721637281,,69.4790099884,34.3631675451,26.9039388785,64.9611502316,35.0235887946,21.331003061,25.9444648973,18.0844808082,26.4511905006,30.0287770767,2.5766586474,24.8963074736,,12.9954818695,5.47572168697,16.1519606998,,17.9041092015,32.3188066101,25.8123335843
2000-02-25,24.8534363751,27.1015451931,57.4005024221,0.844784517618,24.4514198411,10.1013046925,16.1603788202,48.6661759403,13.4624905023,,69.1844431715,34.3243098359,27.3802709111,63.4914409504,34.7171706949,20.8248436663,25.9000862073,17.865484546,25.6789863909,28.9385502362,2.52904854675,23.9482785902,,13.0697417659,5.33315728729,16.0039010601,,17.95220159,30.0373202621,24.1091395334
2000-02-28,25.0534232101,28.7953917677,53.4052526614,0.866828364775,23.9275994214,9.97784430184,16.9563445656,47.8599591702,13.6339167523,,68.2154733792,36.7917743732,28.2270834135,61.4338479566,34.4413944052,21.0417691212,26.6067315012,17.9404043199,26.2634723745,29.017781838,2.65473921247,24.8625497686,,13.1725631609,5.35292899236,16.7845791606,,18.1651821676,31.1780634361,25.4701393457
2000-02-29,25.5606361973,29.1428474753,53.2101721066,0.877314500402,23.8887979088,9.83754840333,16.9859090076,48.4462986394,13.4459008652,,71.7037646315,37.2386380295,28.3035317644,60.4050514597,34.625245265,20.8248436663,27.1802407253,18.2977140108,26.2634723745,28.3237130063,2.70806252521,24.7218926642,,12.7841267797,5.31962927856,16.4682699302,,17.7323506712,32.9060530961,26.4422820689
2000-03-01,24.9635740524,29.4251552377,50.7677635615,0.997407542727,23.4813820267,9.78704187987,17.1132635268,48.2630675553,14.1011915304,,73.4479102577,36.0275727579,28.3035317644,58.9353421785,35.5138577541,21.2239865033,27.992712126,18.0095610343,25.7216496013,28.7800870326,2.6785442628,24.8259789214,,12.8869481747,5.68384489818,18.4872650177,,17.6086845294,33.0748020864,26.978904852
2000-03-02,24.9432855329,29.0125515849,50.9628441162,0.933801858742,23.2421060325,9.66358148918,17.213327792,48.6661759403,13.7223948168,,74.6106740085,35.7037585142,26.9803872294,60.6225684334,35.4832159441,21.3136490246,27.5011327911,17.7963278316,25.4001289813,29.5914186349,2.80328272651,24.5615435652,,12.9269342728,5.4632342943,18.5915797639,,16.9628724553,34.1277957854,26.8311391581
2000-03-03,25.9403213478,28.9908356032,51.7431663351,0.97972654032,23.2421060325,10.2079295754,16.9563445656,50.3519019142,13.8606417926,,79.4555229701,35.2957525671,26.756922819,63.4914409504,36.5556792931,21.2586945761,27.6923025324,18.6204453446,24.6499142013,30.4629662545,2.79756951444,24.8794286211,,12.8869481747,5.66511380917,18.6117697147,,16.8460766547,35.5250374246,28.3865675151
2000-03-06,25.2881903642,28.0787643707,50.377602452,0.962045537912,22.7182856128,10.2949130325,16.8289900463,49.8755010955,13.5482036273,,80.3857339707,34.8942229049,26.0571263761,60.5872954106,35.9734849036,20.3909927566,28.4842914609,18.1882158798,24.2212200413,28.7198710152,2.71377573728,24.5981144124,,12.8184005781,5.4632342943,19.180453331,,16.660577442,34.0872960278,27.9977104259
2000-03-07,23.983928397,27.4490009007,47.5996553528,0.940460937571,22.4725426998,9.48680865706,18.4209215372,48.4096524226,13.0311599378,,81.3159449713,33.9486853132,24.5869657816,60.5520223879,35.4832159441,19.812524877,27.9278509637,17.2200218785,23.1237629916,29.4329554313,2.65473921247,17.1601667332,,12.6013331886,5.09901867468,18.7194494527,,15.63002626,32.1028079026,27.9977104259
2000-03-08,23.9288595584,26.6672255586,47.8961777959,0.933801858742,21.5865748293,9.80387738769,18.4345666643,48.519591073,13.1334626999,,78.9128998864,34.0264600791,25.1044623109,62.4626444535,35.2074396544,20.5356097265,26.9685885116,17.7214080577,24.3541152309,30.2854874665,2.59475048565,16.316224107,,12.4242518972,4.95541365894,19.0122037404,,17.0934089384,32.6090548733,27.1733333967
2000-03-09,23.4593252502,26.6672255586,46.039010915,0.935715387141,21.8258508235,9.89086084476,18.9326138021,51.0481800338,12.9260922362,,83.0988493892,35.8476858471,25.8748264624,63.4914409504,36.2799030033,21.0244150848,27.6923025324,18.4417904991,26.2060740022,31.6926407142,2.547140385,16.2458955548,,12.9954818695,5.10526237102,19.7289469965,,17.6086845294,33.0343023287,28.1921389705
2000-03-10,23.6216334061,27.5141488459,46.4759913575,0.962504784728,20.9398829531,10.0143212354,18.2799218909,49.9854397459,12.5804747968,,87.0522461418,34.6745831282,26.6863551105,61.874760741,36.8314555828,20.5009016538,26.8627624048,18.2977140108,25.5330241709,32.0095671214,2.55951901117,15.1206387199,,13.1382893626,5.29465449322,19.2847680772,,16.8323359723,32.3593063677,27.3210990906
2000-03-13,22.8970434243,27.4924328642,45.2586886961,0.928520520361,21.1015559221,9.99748572763,18.1502931838,49.9121473123,12.1436143533,,85.5794120575,34.3505216036,26.2453069322,63.3091969995,37.4136499722,20.2463757867,27.330445522,18.6953651185,24.4355671213,31.0587878999,2.73758078761,16.1052384504,,12.8526743764,5.20932397662,19.2443881755,,17.2170750802,32.1905573775,27.1733333967
2000-03-14,22.9347221034,27.8833205352,40.7718359374,0.874482478371,21.3796334289,10.0479922511,18.8484688519,48.2997137721,12.0214842889,,81.2384273879,33.9033166997,26.4628907001,63.8559288521,36.1266939535,21.0417691212,26.9685885116,17.5773315695,24.2212200413,30.1460398474,2.74995941378,15.6832671373,,12.7441406817,5.20932397662,18.8641441007,,17.1758530329,32.2310571352,26.5433849121
2000-03-15,23.9114693988,28.8605397129,45.6488498055,0.889790705564,22.5566126437,10.7326362358,19.0895327634,47.1270348338,13.2011496832,,80.3082163873,36.9430138001,27.0156710837,62.9035572379,36.8314555828,22.253659329,28.3784653541,18.7299434757,25.6401977109,30.2252714492,3.14226664317,16.4568812114,,13.6409717382,5.35292899236,18.8641441007,,17.8628871543,34.8027917464,27.0722305534
2000-03-16,25.5229575183,31.2275817209,50.5258636736,0.93043404876,23.0416315509,11.4172802205,19.1327423324,48.2630675553,13.8090243217,,80.0756636371,39.8595675212,29.2561958296,64.0793246629,38.3329042713,23.0837607363,30.7646733755,19.6289807625,27.8651204015,30.2252714492,3.41554862093,16.8450948194,,15.5317429464,5.42369088417,19.4765726105,,18.8934383362,36.9179905457,27.4610876427
2000-03-17,24.8911150542,31.1841497575,49.261741679,0.956764199531,24.5742912976,11.1198529157,18.9462589292,49.4723927104,13.6369319583,,90.307984644,40.9548954742,27.5684514672,64.6672083754,39.8037111498,23.0114522513,31.0650829691,19.4849042742,26.9005585414,31.4929770777,3.24835393319,16.2121378498,,15.2118541619,5.37166008137,19.917386538,,19.1957333496,37.6748667934,28.6276589104
2000-03-20,25.215731366,30.8366940498,45.2586886961,0.941455972338,23.9275994214,10.8027841851,18.862113979,49.142576759,13.4787180113,,87.9049395591,41.2400696158,27.9330512946,66.2838885848,41.3664434582,22.9391437664,29.5493800198,19.917133739,26.4204210822,30.8591242634,3.15281411162,16.3527949541,,15.0290605708,5.5152650971,19.8971965871,,19.2369553969,37.2558817277,30.6730471999
2000-03-21,26.2127671809,31.6836173371,47.7010972412,1.03284608868,23.6430549958,11.1703594391,19.5580154593,51.634519503,13.72297814,,91.703301145,41.1558136194,29.4032118891,66.7248013692,42.4082649971,23.2110236698,31.4064575072,20.3147848467,27.4107045918,32.5641883339,3.16523428843,16.0349098983,,15.7430980362,5.61932670271,19.8130717918,,19.2369553969,38.2695552737,30.4786186553
